番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
魔神英雄传 永恒传说,9.4,487119,62285,1670,109,热血|奇幻|时泪|少儿,0
智龙迷城,6.6,1060090,26949,3600,298,少儿|冒险,1
蓝龙,9.5,375429,22080,5793,211,奇幻|少儿|热血,0
海獭波乐 2nd,9.3,764746,73993,6867,219,少儿|泡面,0
未来卡 搭档对战,9.4,2428297,28522,36662,108,少儿|热血,0
MINUSCULE ～小昆虫的故事～,9.4,334016,18806,27031,121,日常|泡面|少儿|治愈,0
新天线宝宝 第二季,9,2247003,208600,2803,171,少儿,0
怪物猎人物语 RIDE ON 第二季,9.4,435224,17893,5788,143,奇幻|战斗|少儿,0
纸箱战机 第一部,9.5,643764,18406,8069,130,少儿|热血,0
闪电十一人 第三季 日语,9.7,1012634,49845,45308,255,热血|运动|少儿,0
小猪佩奇 第七季 英文版,8.9,2114447,91878,2435,177,原创|少儿,1
闪电十一人 第一季 日语,9.7,772364,49845,30896,274,运动|少儿,0
小猪佩奇 第二季 英文版,8.9,1687684,91879,1677,111,原创|少儿,0
小猪佩奇 第七季,8.6,8842684,64897,5748,195,原创|少儿,1
闪电十一人 第二季 日语,9.7,721188,49845,36390,177,热血|运动|少儿,0
未来卡 神搭档对战,9.4,301271,28522,592,105,少儿|游戏改,0
闪电十一人 GO,9.4,525113,49845,9505,117,热血|奇幻|运动|少儿,0
