番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
小桃小栗Love Love物语,9.5,18853057,958909,593954,3770,恋爱|校园|日常,0
One Room 第二季,9.7,23405438,2093661,254566,8066,萌系|恋爱|日常|治愈,0
剧场版 中二病也要谈恋爱！ -Take On Me-,9.8,6175682,4399852,339960,32611,小说改|恋爱,1
ReLIFE 完结篇,9.9,10884883,1495053,142096,54259,恋爱|科幻|校园|漫画改,0
水果篮子 (2019),9.7,17085304,1231296,263314,9684,漫画改|奇幻|校园|恋爱,1
好想告诉你 第一季,9.7,14024389,977992,805940,4946,少女|校园|治愈|催泪,0
政宗君的复仇,5.1,13361119,901015,179656,18216,搞笑|日常|恋爱|校园,1
俺物语！！,9.9,14438225,895102,547630,42528,漫画改|日常|校园|恋爱,1
三坪房间的侵略者！,9.6,10902350,831904,351109,7629,小说改|搞笑|校园|恋爱,0
萤火之森,9.7,4428343,830265,110960,7903,漫画改|神魔|催泪|恋爱,0
从很久以前就喜欢你了。～告白实行委员会～,9.6,8070645,2356745,209379,2823,恋爱|音乐|校园|声控,1
超时空要塞Δ,9,33009337,818585,874516,3133,机战|科幻|恋爱|战斗,0
知晓天空之蓝的人啊,9.6,4928770,737200,74277,15709,恋爱|穿越|音乐|治愈,1
昨日之歌,9.5,11919798,736280,355926,21666,漫画改|恋爱|日常,0
白色相簿 上半篇章,9.4,2450586,702033,24557,2227,日常|游戏改|恋爱,1
这爱情有点奇怪,9.3,6563056,670349,74064,5669,漫画改|少女|恋爱,1
温暖的印记,9.8,13113458,641982,48639,5976,恋爱,0
迷糊餐厅 WORKING!!,9.5,4909559,787235,86507,3002,搞笑|日常|声控|美食,1
境界的彼方 -I'LL BE HERE- 过去篇,9.5,6221818,3591688,71784,2503,恋爱|奇幻|战斗,1
我的青春恋爱物语果然有问题。 第一季 OVA,9.7,9873905,5895826,159845,6528,小说改|恋爱|校园,0
元气少女缘结神 新婚篇,9.8,8821702,2644261,134856,2879,恋爱|奇幻,0
稻荷恋之歌,9.1,9813523,602706,267075,2521,少女|奇幻|恋爱,0
犬夜叉完结篇,9.8,26758133,2652490,473044,12089,漫画改|热血|奇幻|战斗,0
Code:Realize ～创世的姬君～,9,8821364,580954,96417,1710,恋爱|乙女|游戏改|奇幻,0
只要你说你爱我,7.8,5171612,585423,162596,2383,日常|少女|恋爱,0
喜欢上你的那个瞬间。～告白实行委员会～,9.6,5222640,2356743,85316,2348,恋爱|校园|声控,1
重启咲良田,9.8,5076620,557467,76602,14915,小说改|日常|奇幻|校园,1
高分少女 第二季,9.9,8279275,554981,107452,26323,漫画改|恋爱,1
恶魔战线,8.2,6872268,541938,85314,2915,恋爱|奇幻|漫画改,1
明治东京恋伽,9.2,12094012,513995,176743,2742,恋爱|乙女|游戏改|声控,0
我们大家的河合庄,9.7,3034331,523379,54356,5502,日常|恋爱|校园,0
在盛夏等待,9.3,2292452,499163,55126,2219,科幻|催泪|恋爱|原创,0
花牌情缘 第三季,7.8,6787431,574358,78844,9344,漫画改|热血|恋爱|少女,1
在世界尽头咏唱恋曲的少女YU-NO,6.8,2156616,459320,18004,1672,游戏改|科幻|恋爱|声控,1
真实之泪,9.3,4050693,459222,227255,3919,校园|治愈|恋爱|游戏改,0
只要長得可愛，即使是變態你也喜歡嗎？（僅限台灣地區）,9.3,1162750,445164,40607,3185,小说改|校园|恋爱,0
悠久之翼,9.7,3097444,464184,107987,2578,催泪|校园|恋爱,0
覆面系 NOISE,8.4,6985611,432549,196796,962,恋爱|音乐|少女|漫画改,0
春宵苦短，少女前进吧,9.7,2825403,423636,48300,9197,恋爱|奇幻,1
白猫计划 零之纪元,4.9,7354028,414891,68820,5958,游戏改|战斗|恋爱|奇幻,1
花牌情缘,8.6,4792456,574358,111146,2851,少女|运动|校园|热血,0
妖狐×仆SS SP,9.7,4212124,1666220,78696,1716,恋爱,0
中二病也要谈恋爱！恋 Lite,9.5,6997337,4399860,55691,1638,恋爱|奇幻|战斗,0
奇幻☆怪盗,6.4,6543756,378885,68891,3355,小说改|奇幻|恋爱,1
初音岛,9.4,2656695,471417,49833,865,游戏改|日常|校园|恋爱,0
魔法使的新娘（僅限台灣地區）,9.5,1165856,374301,27708,3540,恋爱|奇幻|魔法|漫画改,0
蜂蜜与四叶草,9.7,3668301,354460,56520,1983,萌系|恋爱|少女|治愈,0
琴浦小姐,9.3,6834786,328901,258580,3943,日常|催泪|校园|恋爱,0
新樱花大战,8.4,4307291,354239,33573,1281,游戏改|机战|恋爱,1
堀桑与宫村君,9.8,3697316,299270,18950,2566,恋爱,0
中二病也要谈恋爱！恋 SP,9.6,7625300,4399855,49034,1422,小说改|恋爱|校园,0
