番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
白兔糖,9.8,4602038,483155,97637,5320,日常|治愈,0
元气囝仔,9.8,4637106,482671,92708,7081,治愈,0
NEKOPARA EXTRA 小猫篇（猫娘乐园）,9.7,3317002,469797,69744,4506,萌系|日常|治愈|游戏改,0
你看起来很好吃,9.8,3449143,460925,79666,8386,治愈,0
真实之泪,9.3,4050693,459222,227255,3919,校园|治愈|恋爱|游戏改,0
狼与香辛料 第二季,9.8,4532507,1157096,197046,9438,奇幻|日常|治愈|小说改,0
SOLA,9.4,2508979,446168,65949,2366,治愈|奇幻|催泪,0
夏目友人帐 第五季 特别篇,9.8,4043726,5319488,40337,2750,奇幻|日常|治愈,1
阿尔蒂,9.6,5293109,410856,64105,6375,漫画改|日常|治愈,1
电器街的漫画店,9.5,11246731,401451,278518,1784,萌系|搞笑|日常|治愈,0
好想告诉你 第二季,9.6,9695940,977992,366095,2667,少女|校园|治愈|催泪,0
付丧神出租中,9.5,5541661,385929,56564,2426,小说改|治愈|神魔,0
田中君总是如此慵懒 特典,9.7,5139373,610988,17631,916,搞笑|治愈,0
长门有希酱的消失,9.2,8750297,361542,322381,1996,日常|少女|治愈,0
玻璃之花与崩坏的世界,9,3390504,356394,46782,1265,原创|治愈|架空,0
猫神八百万,9.6,2062341,357654,20364,1247,萌系|奇幻|日常|治愈,0
剧场版 悠哉日常大王 Vacation,9.9,2461986,1554749,58660,11164,漫画改|萌系|治愈|日常,1
黄金拼图,9.7,1841505,396008,72158,2566,萌系|日常|治愈,0
蜂蜜与四叶草,9.7,3668276,354460,56520,1983,萌系|恋爱|少女|治愈,0
CLANNAD ～AFTER STORY～另一个世界 杏篇,9.7,2179298,3139117,36606,4693,时泪|校园|治愈|催泪,0
体操武士,9.8,3519631,321252,29077,6268,运动|搞笑|治愈|励志,1
四畳半神话大系,9.8,2433736,315796,35446,6275,日常|治愈,0
CLANNAD 另一个世界 智代篇,9.8,2169395,3139117,28206,5120,校园|治愈|时泪|催泪,0
三者三叶,9.6,4616743,305365,158473,1439,萌系|校园|日常|治愈,0
URAHARA,8.2,2394410,297164,31325,1146,萌系|奇幻|治愈,0
夏日大作战,9.5,1983946,296345,70600,6731,热血|治愈,1
快要坏掉的八音盒,9.6,2117627,360590,43587,1032,催泪|少女|治愈,0
KANON / 雪之少女（京都版）,9.7,1798287,325036,78677,3366,少女|治愈|催泪,0
和歌子酒 动画,9.6,13144508,291505,56151,1583,日常|泡面|治愈|美食,0
那就是声优！,9.2,7791927,273165,442807,1166,萌系|搞笑|治愈|职场,0
请问您今天要来点兔子吗？？～Dear My Sister～,9.8,1560474,2636049,52474,5447,萌系|日常|治愈|萝莉,1
甜梦猫,9.6,1840807,256733,28114,1358,奇幻|萌系|治愈|少女,1
花开伊吕波 Home Sweet Home,9.8,1630443,1049789,22058,3413,催泪|日常|治愈|励志,0
青之文学,9.4,1790807,252967,41876,890,治愈,0
小鸠,9.7,1808535,242949,45254,1412,萌系|日常|少女|治愈,0
烧窑的话也要马克杯,9.3,854032,238257,4158,277,日常|治愈|漫画改,1
若叶女孩,9.6,4491332,234921,85323,976,萌系|日常|校园|治愈,0
Little Busters! EX,9.7,1525204,1137036,30431,1730,校园|日常|治愈|励志,0
异国迷宫的十字路口,9.6,1339380,227736,55057,1076,萌系|日常|治愈,0
东京教父,9.8,1402101,225706,25299,3191,日常|治愈,0
有顶天家族,9.6,1438975,224029,15773,2423,奇幻|日常|治愈,0
犬神同学和猫山同学,9.7,4812277,223828,33975,2062,日常|泡面|治愈,0
圣诞之吻SS+ SP,9.7,2644821,707828,14535,783,校园|日常|治愈,0
Stories of Last Letter,9.5,1796131,221562,31555,1668,奇幻|治愈|少女,0
幸腹涂鸦,9.5,4728139,216626,129028,1049,萌系|日常|治愈|美食,0
我的女神,9.7,2311681,253070,41822,1658,时泪|治愈|奇幻,0
怪物之子,9.7,1582938,211113,42822,4382,治愈,1
特别的她,9.7,1375877,207816,14468,2767,日常|治愈|搞笑,0
琴之森,9.5,3677945,312705,29339,1383,音乐|治愈|励志|漫画改,0
甘城光辉游乐园 SP 激动人心小剧场,9.6,3490905,2163771,51065,1370,日常|治愈,0
阳光中的青时雨,9.7,1064557,200020,14095,1006,治愈|恋爱|校园,0
面包带来和平！,8.8,3601452,179968,34020,327,萌系|校园|日常|治愈,0
给桃子的信,9.5,1259418,177717,26302,1027,治愈,0
我们的存在,9.4,874682,168278,23345,632,日常|少女|治愈|恋爱,0
调酒师,9.7,750005,164165,5184,841,日常|治愈,0
精灵宝可梦 世代,9.6,14853308,1566991,34484,796,战斗|治愈|架空|冒险,0
东之伊甸,9.1,1241011,174544,21753,912,奇幻|日常|治愈|智斗,0
阿茹茉妮,9.6,1262190,161780,17329,1257,奇幻|治愈,0
心跳回忆 ONLY LOVE,9.4,2705409,165553,86536,755,萌系|日常|治愈,0
虫师 续章 铃之雫,9.8,1606343,1025086,25336,1421,奇幻|治愈,0
HELLO!! 黄金拼图,9.7,2028453,396008,119511,1779,校园|日常|治愈,0
A CHANNEL,9.7,1129880,158230,28253,1170,萌系|日常|校园|治愈,0
MYSELF;YOURSELF,9.4,1336674,150733,33766,1007,日常|治愈,0
当女孩遇到熊,6.7,1346693,170036,25297,2320,日常|治愈,0
坂道上的阿波罗,9.6,890333,140375,24984,1268,音乐|治愈|励志|校园,0
爱丝卡与罗吉的工作室 黄昏之空的炼金术士,9.1,1977766,139826,65198,400,奇幻|治愈|少女|架空,0
剧场版 快要坏掉的八音盒,9.6,2117627,360590,43587,1060,催泪|治愈,0
草莓棉花糖,9.6,1571609,141379,53167,1198,萌系|日常|治愈,0
与汪汪喵喵同居的开心日常,9.8,4687525,132176,3132,2998,日常|萌系|治愈|漫画改,0
文学少女,9.1,655150,166085,16054,385,治愈|校园|小说改,0
玉响～hitotose～,9.6,666215,154519,24609,577,日常|治愈|社团,0
H2O 赤砂的印记,9.4,519196,122694,8062,741,少女|治愈,0
浦和小调,9,579082,112853,1836,235,日常|治愈,0
天堂餐馆,9.6,232534,112720,1619,541,日常|少女|治愈|美食,1
复活！小猫咪,9.2,6716541,112387,41932,237,萌系|日常|治愈,0
电脑线圈,9.7,946405,108540,32068,1120,科幻|治愈,0
阿尔卑斯山的少女,9.8,1815847,106592,36473,414,日常|治愈,0
贫穷姐妹物语,9.4,494342,106256,10952,701,萌系|日常|治愈,0
夏色奇迹,9.4,1108343,104842,67832,588,日常|治愈|偶像|社团,0
不愉快的怪物庵（僅限台灣地區）,8.8,261527,104312,8643,107,奇幻|日常|治愈,0
蜂蜜与四叶草II,9.7,3668285,354460,56520,1387,萌系|恋爱|少女|治愈,0
青出于蓝,9.4,1426730,109127,42252,529,日常|少女|治愈|恋爱,0
加奈日记,9.6,590003,101450,11642,867,萌系|日常|治愈,0
雨色可可,8.1,3654373,171928,33038,107,日常|治愈|美食,0
寻找满月,9.8,1728499,97967,29181,633,催泪|少女|治愈|奇幻,0
圣诞之吻SS OVA,9.7,1284009,707829,21994,516,恋爱|校园|日常|治愈,0
放浪男孩,9.7,731159,94693,21467,991,日常|少女|治愈,0
宝石宠物 Tinkle☆（第二季）,9.8,2317508,109147,46773,562,萌系|治愈|魔法,0
竖笛与双肩书包,9.5,1039341,105534,7345,455,萌系|日常|治愈,0
