番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
野良神 ARAGOTO,9.4,106708367,3903646,2154777,14915,奇幻|战斗|漫画改|神魔,1
会长是女仆大人！,9.8,42980822,2271742,909391,21250,日常|少女|校园|恋爱,0
齐木楠雄的灾难 第二季,9.8,99577309,4460715,1257105,39204,搞笑|校园|漫画改,1
宇崎学妹想要玩！,9.4,59613103,2255760,979321,33058,漫画改|搞笑|校园,1
怪物事变,9.6,45070567,2204160,380367,24597,漫画改|奇幻|神魔,1
黑色四叶草,9.5,207194386,2213226,2255458,99026,战斗|热血|魔法|漫画改,1
少女终末旅行,9.8,32716462,2162960,978086,64654,奇幻|漫画改|冒险|架空,1
诸神的逆鳞,4.7,48840092,2697011,270643,43857,漫画改|热血|战斗|奇幻,1
星掠者,5.4,92405316,2107457,986056,45173,漫画改|奇幻|搞笑|战斗,1
此花亭奇谭,9.8,30402488,2138432,748737,29910,萌系|漫画改|日常|治愈,0
小木乃伊到我家,9.6,43722601,2050658,669324,14457,漫画改|萌系|搞笑|日常,0
属性咖啡厅,9.6,40259152,2017228,1136794,22224,萌系|少女|日常|漫画改,0
伪恋,9.3,21590773,2080272,913420,13284,漫画改|搞笑|日常|校园,0
戒律的复活,9.7,81759705,2697011,534933,21710,热血|战斗|漫画改|架空,1
pop子和pipi美的日常,8.6,52422540,1899227,1061924,39118,搞笑|漫画改,0
声之形,9.6,20782570,0,1186936,35718,动画|爱情|剧情|漫画改,0
我们无法一起学习！,5.3,34861887,2045602,518080,44314,漫画改|日常|校园|恋爱,1
火影忍者 疾风传,9.6,139643012,1822930,2664273,16982,热血|战斗|漫画改|架空,1
极主夫道,9.6,13459038,1741687,66715,1729,漫画改|搞笑|日常,1
我们无法一起学习,9.2,48228163,2045602,902867,16987,漫画改|日常|校园|恋爱,1
犬夜叉,9.9,140891806,2652643,3214034,40470,漫画改|热血|穿越|奇幻,0
齐木楠雄的灾难（日播&精选版）,9.6,216476661,4460715,1291882,10538,奇幻|校园|泡面|漫画改,1
轻音少女 第一季,9.9,25711939,1918277,729195,61599,日常|校园|音乐|漫画改,1
格莱普尼尔,8.9,40027363,1680722,419025,25376,漫画改|奇幻|战斗,1
神之塔,9.3,46770855,1664505,483473,46940,漫画改|战斗|奇幻|冒险,1
银魂,9.9,68561406,1694294,464668,39051,漫画改|热血|搞笑|战斗,1
我立于百万生命之上,8.3,38968980,1654011,283448,18412,漫画改|穿越,1
请问您今天要来点兔子吗？？～Sing for You～,9.8,1545271,2636108,27512,6101,漫画改|搞笑|日常|萌系,1
终将成为你,9.8,22206517,1636847,591944,31048,恋爱|校园|漫画改,1
邪神与厨二病少女 第二季,9.8,24973883,1905233,295126,32844,搞笑|日常|神魔|漫画改,1
幻界战线 & BEYOND,9.8,35607719,2811509,397637,30741,奇幻|战斗|漫画改,0
品酒要在成为夫妻后,9.4,42183498,1612843,218416,12123,搞笑|恋爱|漫画改,0
流汗吧！健身少女,9.7,38199515,1596267,527886,18283,漫画改|日常|运动,0
实况主的逃脱游戏,9.3,30381605,1595792,418038,20772,漫画改|穿越|冒险,1
碧蓝航线：微速前行！,9.8,10930051,1699077,93841,9031,日常|萌系|漫画改,1
伪恋：,9.4,52056964,2080272,1182413,10212,日常|校园|漫画改,0
黑执事,9.8,22940847,1692626,1096990,11535,漫画改,1
