番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
记录的地平线 第二季,9.5,39091357,1784983,627061,7010,奇幻|智斗|穿越|冒险,0
重启咲良田,9.8,5078166,557544,76655,14918,小说改|日常|奇幻|校园,1
[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,9.2,4958407,543115,77592,2970,奇幻|战斗|智斗|原创,0
刀剑神域 Extra Edition,8.7,13098221,7188581,199922,4345,小说改|热血|战斗|科幻,0
命运石之门 负荷领域的既视感,9.8,6363571,1963848,234775,10470,科幻|穿越,0
织田肉桂信长,9.7,7971272,520659,110277,7673,漫画改|搞笑|日常|萌系,1
OVERLORD SP,9.4,41122612,8682796,48598,3859,科幻|奇幻|战斗|日常,0
爱书的下克上：为了成为图书管理员不择手段！ 第二部,9.6,6108114,577917,98116,7758,小说改|穿越|架空|励志,1
明治东京恋伽,9.2,12094595,514021,176744,2742,恋爱|乙女|游戏改|声控,0
零之使魔 双月骑士,9.2,13961429,1430833,784713,3160,奇幻|战斗|小说改|架空,0
爱书的下克上：为了成为图书管理员不择手段！,9.5,10254386,577917,164482,10700,小说改|穿越|架空|励志,1
Re：从零开始休息时间,9.3,44928757,8647480,232410,2882,小说改|架空|穿越|冒险,0
零之使魔F,9.3,20732213,1430833,655976,3321,奇幻|日常|战斗|小说改,0
寻找失去的未来,9,3126327,412498,80111,1664,校园|穿越,0
今天开始做魔王 第一季,9.2,7049270,476903,54994,1213,奇幻|神魔|架空|穿越,1
DOG DAYS,9.3,2789670,424614,80827,1128,少女|战斗|热血|声控,1
普通攻擊是全體二連擊，這樣的媽媽你喜歡嗎？（僅限台灣地區）,6.3,694356,330814,21487,2187,小说改|奇幻|穿越,0
BUDDY COMPLEX,9.4,5321343,325873,105662,1822,科幻|热血|机战|战斗,0
命运石之门 境界面上的迷失之链,9.7,4285102,1963849,22426,2265,科幻|穿越,0
战刻夜想曲,8.2,4951817,284766,94331,1077,乙女|游戏改|穿越,0
十二国记,9.8,8151617,266682,167112,3820,时泪|奇幻|小说改|励志,0
18if 梦境异闻录,8.6,3089490,258680,87915,1044,游戏改|穿越|冒险,0
Butlers～千年百年物语～,6.9,3482344,253852,29320,654,奇幻|校园|少女|战斗,0
OVERLORD Ⅲ SP,9.3,23475094,8682794,18243,1832,小说改|架空|穿越,0
RErideD-穿越时空的德理达,7.5,3692885,251647,23202,1679,科幻|原创|穿越|冒险,0
OVERLORD OAD,9.3,12557311,8682796,36240,2307,热血|奇幻|魔法|架空,0
被狙击的学园,8.5,1284680,222133,34817,1162,催泪|奇幻|校园|日常,0
问题儿童都来自异世界？ OVA 温泉漫游记,9.5,3596589,1716354,70040,1299,奇幻|战斗|架空|穿越,0
零之使魔～三美姬的轮舞～OVA,9.3,1992441,1430833,8143,618,奇幻|战斗|日常|架空,0
SHOW BY ROCK!! 第二季,9.2,3807273,286900,49612,402,游戏改|搞笑|音乐|穿越,0
翼年代记 第二季,9.4,1253492,636792,16006,714,架空|穿越|冒险|漫画改,1
幼女戰記（僅限港澳台地區）,9.7,498102,144325,10165,1715,小说改|穿越|奇幻|战斗,0
SHOW BY ROCK!! Short!!,9,2520905,286900,10296,171,萌系|搞笑|音乐|泡面,0
翼·年代记 东京默示录,9.7,937337,636792,15969,868,热血|奇幻|架空|穿越,0
翼·年代记 春雷记,9.7,679310,636792,8497,686,热血|奇幻|架空|穿越,0
灰与幻想的格林姆迦尔 OVA,9.8,1824217,1291410,12494,3390,奇幻|战斗|架空|穿越,0
