番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
新网球王子 OVA,8.8,1411388,618536,9196,168,搞笑|运动,1
王牌投手 振臂高挥～夏日大会篇～,9.7,553144,97480,8864,686,运动|治愈|热血|声控,0
花牌情缘 OAD,6.2,463488,574361,33036,406,热血|运动|少女|校园,0
排球少年！！第二季（僅限港澳台地區）,9.8,510203,59548,13082,814,漫画改|热血|校园|运动,0
男子啦啦队！！,9.1,302691,31482,5223,251,运动|小说改,0
银盘万花筒,9.2,254819,31423,4241,111,运动|小说改,0
第一神拳 Rising,9.7,1576357,91379,15130,340,运动|热血,0
网球并不可笑嘛 第七季,9.2,1257023,185807,4608,111,搞笑|校园|日常|运动,0
闪电十一人,9.7,1569138,49845,23889,409,热血|运动|少儿,0
网球优等生,9.7,1222156,33823,14065,387,运动,0
网球王子剧场版：英国式庭球城决战,9,752676,618536,23242,281,热血|奇幻|运动,1
高智能方程式：SIN,9.8,1642325,139162,20814,604,热血|运动|时泪,0
网球并不可笑嘛 第二季,9.2,1604062,185807,5753,167,萌系|日常|运动|社团,0
高智能方程式：SAGA,9.8,1365980,139162,16958,525,科幻|运动|时泪,0
高智能方程式：ZERO,9.7,1652478,139162,24665,340,热血|运动|时泪,0
如果高中棒球社女经理读过杜拉克的《管理学》的话,9.2,241326,23247,4398,131,运动|社团|校园,0
神田川JET GIRLS（僅限台灣地區）,8.4,63959,22909,2249,189,原创|萌系|校园|运动,0
网球并不可笑嘛 第五季,9.4,1138548,185807,3553,140,萌系|日常|运动|社团,0
流汗吧！健身少女（僅限港澳台地區）,9.6,399623,21656,5842,312,漫画改|日常|运动,0
网球王子 那时的我们,8.8,660923,618536,3782,121,奇幻|校园|社团|运动,1
网球并不可笑嘛 第三季,9.2,1398200,185807,5381,146,萌系|日常|运动|社团,0
紫音之王,9.3,270199,18024,5123,100,运动|治愈|热血,0
明日之丈剧场版,9.6,16424,59403,20,142,运动|热血,1
H2 好逑双物语,9.4,389910,15777,7478,142,时泪|日常|少女|运动,0
闪电十一人 第三季 日语,9.7,1012764,49845,45308,255,热血|运动|少儿,0
网球优等生 第二期,9.5,618169,33823,7769,343,运动,0
大正野球娘,9.3,62873,14270,5714,140,运动|社团,0
闪电十一人 第一季 日语,9.7,772486,49845,30899,274,运动|少儿,0
闪电十一人 第二季 日语,9.7,721274,49845,36390,177,热血|运动|少儿,0
球詠（僅限港澳台地区）,8.5,87090,11179,1503,216,漫画改|运动|校园,0
茄子·安达卢西亚之夏,9.6,125771,11019,1567,135,少女|运动|热血,0
极速方程式,9.7,281569,8278,4015,139,运动|热血,0
闪电十一人 GO,9.4,525288,49845,9505,117,热血|奇幻|运动|少儿,0
哨声响起,9.3,270822,6087,2700,115,漫画改|校园|运动|社团,0
花牌情緣 第三季（僅限台灣地區）,6.4,58388,3771,436,163,漫画改|热血|恋爱|少女,0
