番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
剧偶像,8.2,1491758,226817,13075,2109,原创|少女|架空,1
吸血鬼骑士 Guilty,9.2,11209162,486798,295415,872,恋爱|乙女|少女,0
Stories of Last Letter,9.5,1796136,221564,31555,1668,奇幻|治愈|少女,0
彩云国物语,9.5,2911365,230775,81031,1059,奇幻|少女|声控|小说改,0
狼少女与黑王子,8.9,2741959,264689,58579,1673,漫画改|少女|恋爱|校园,1
怪盗圣少女,9.8,197884,207318,2056,1842,萌系|少女|魔法,1
魔法少女☆伊莉雅 OVA,9.2,2904361,1941167,30480,841,萌系|校园|少女|魔法,0
他和她的故事,9.6,2897299,199644,81286,1093,恋爱|少女|日常,0
旋风管家 CAN'T TAKE MY EYES OFF YOU,9.3,1879647,304669,31859,649,少女,0
交响情人梦,9.7,2978695,209589,65343,1125,少女|音乐,0
告白实行委员会 我于此刻恋上你,9.2,6291134,2356746,39277,426,恋爱|校园|少女|音乐,0
少女与战车 剧场版,9.7,3610443,685596,166053,5989,少女,1
勿忘蛛,9,1321675,172869,17673,1336,少女,0
晨曦公主 OAD,9.8,3384687,774380,38935,1306,奇幻|少女|架空,0
悠久之翼2,9.7,1533207,464184,54123,2323,少女|催泪|校园|恋爱,0
我们的存在,9.4,874685,168278,23345,632,日常|少女|治愈|恋爱,0
少女革命,9.8,2276301,186672,121105,1868,奇幻|校园|少女|战斗,0
恋爱情结,9.7,3163934,161637,115881,1402,恋爱|校园|少女,0
爱丽丝学园,9.8,3066756,161471,81910,1226,奇幻|日常|少女,0
邻座的怪同学 OAD,9.5,1758945,1813752,21103,978,搞笑|校园|少女,0
魔卡少女樱 知世的影像活跃日记,9.6,2378650,3708154,25426,970,少女|魔法,0
灵感！,9.7,1336114,147924,24127,1586,奇幻|少女,0
源氏物语千年纪 Genji,9.1,1743307,147903,50147,363,历史|少女|恋爱,0
不可思议星球的双胞胎公主,9.3,2958886,182212,117176,565,奇幻|少女|魔法,0
BanG Dream! 少女乐团派对☆PICO,9.8,8947006,201752,22365,3204,萌系|音乐|少女|游戏改,0
爱丝卡与罗吉的工作室 黄昏之空的炼金术士,9.1,1977768,139826,65198,400,奇幻|治愈|少女|架空,0
赤发白雪姬 OVA 不值一提的宝物、这一页,9.6,181669,1369576,1256,775,奇幻|少女,1
偶像大师 灰姑娘女孩 第2期,9.2,2852096,543477,103077,752,音乐|励志|偶像|少女,0
凉风,8.7,2574921,137850,26958,521,日常|少女,0
虹色时光,9.4,1880132,137107,19134,1523,漫画改|恋爱|校园|少女,1
千子,9.2,726728,135286,5318,611,奇幻|少女,0
花牌情缘 第二季,8.5,2269034,574358,69895,1862,少女|运动|校园|热血,0
夏雪密会,9.4,123111,125206,1369,925,奇幻|少女,1
H2O 赤砂的印记,9.4,519201,122694,8062,741,少女|治愈,0
献给某飞行员的恋歌,8.8,184337,151784,924,523,科幻|少女|小说改|架空,1
现视研1,9.6,1101839,170363,44376,555,搞笑|日常|少女,0
爱情泡泡糖,9,801768,113808,13657,517,日常|少女,0
天堂餐馆,9.6,232536,112721,1619,541,日常|少女|治愈|美食,1
结城友奈是勇者 -鹫尾须美之章-,9.6,1120125,536190,15087,1107,少女|魔法,0
蜂蜜与四叶草II,9.7,3668301,354460,56520,1387,萌系|恋爱|少女|治愈,0
青出于蓝,9.4,1426730,109127,42252,529,日常|少女|治愈|恋爱,0
小女神花铃,9.7,768173,98237,22054,525,萌系|奇幻|少女,0
寻找满月,9.8,1728505,97967,29181,633,催泪|少女|治愈|奇幻,0
放浪男孩,9.7,731161,94693,21467,991,日常|少女|治愈,0
战场上的女武神,8.7,1205224,90920,50447,454,奇幻|少女|热血,0
海马,9.8,666997,90184,16904,1314,科幻|少女,0
现视研 二代目,9.5,1098256,170363,89577,492,日常|少女,0
不可思议星球的双胞胎公主 Gyu,9.5,1878238,182212,32282,435,奇幻|战斗|少女|少儿,0
女仆咖啡厅,9.6,1219279,86222,15932,845,搞笑|少女|治愈|美食,0
少女与战车 OVA 这次是真正的安齐奥战,9.4,1531579,685597,22737,1199,校园|少女|战斗|治愈,1
扩张少女系三重奏,8.4,1303809,79637,11262,241,少女,0
棒球英豪 TV版,9.8,4119307,81215,164639,1709,日常|少女|运动|热血,0
天使怪盗,9.4,1238648,76341,34000,342,奇幻|恋爱|神魔|少女,0
新白雪姬传说,9.1,639102,76023,5156,174,奇幻|少女|热血,0
天国少女,9.6,1250043,74429,43996,314,少女,0
小马宝莉 友谊的魔力 第八季（中配）,9.7,6867009,496368,51889,678,少女|魔法,0
飞翔的魔女 小剧场,9.4,522410,546940,920,372,少女,0
One Off,9.6,300956,71665,4111,319,少女|日常|治愈,0
最终兵器彼女,9.2,551765,72551,19539,433,科幻|少女,0
彩云国物语 第二季,9.5,1609136,230775,25636,382,奇幻|少女|声控|小说改,0
凡尔赛玫瑰,9.6,50056,64428,617,342,少女|历史|时泪,1
逮捕令 第一季,9.6,1412620,81086,54252,434,日常|少女|热血|职场,0
CANVAS2 七彩的素描,9,323424,62069,6193,265,少女|治愈,0
魔法骑士,9.4,1039121,61449,20612,243,奇幻|少女|魔法|架空,0
青之花,9.3,417825,59808,2247,332,日常|少女|治愈,0
增血鬼果林,9.1,570657,59006,7442,390,奇幻|日常|少女,0
交响情人梦Finale,9.7,1266914,209589,23272,527,少女|音乐,0
百變小櫻Clear咭（僅限港澳地區）,9.4,785393,58345,21366,475,少女|魔法|漫画改,0
东京糖衣巧克力,9.4,265911,57838,3876,297,少女|日常|治愈,0
彩虹小马 小马国女孩2：彩虹摇滚,9.7,1856977,496368,39911,649,萌系|少女|魔法,0
只要你说你爱我 OAD,8.4,881226,585424,11958,210,恋爱|少女,0
Fantasista Doll,7.8,347445,56949,5643,289,偶像|少女,0
流★星LENS,9.3,567033,56024,5391,142,恋爱|少女,0
TARI TARI OVA,9.6,381519,526104,3783,584,少女|治愈,0
橘子酱男孩,8.2,1032671,52000,37026,133,少女|校园,0
交响情人梦 巴黎篇,9.7,81113,209589,469,404,少女|音乐,1
小马宝莉 第五季 (中配）,9.6,6308344,496368,35126,505,少儿|魔法|少女,0
拜托了！双子星,9.4,504074,49523,10027,299,日常|少女,0
魔女的考验【中文】,9.5,1525570,84300,34760,178,萌系|奇幻|少女|魔法,0
萩萩公主,9.6,711146,46880,24842,370,奇幻|少女,0
到另一个你的身边去,9.3,315854,45608,7598,190,奇幻|科幻|少女,0
文学少女 剧场版,9.3,290429,166085,4219,441,少女|治愈,0
近所物语,9.4,573975,44646,20072,147,日常|少女,0
悲惨世界 少女珂赛特,9.7,633277,44251,29258,603,少女|治愈,0
彩虹小马 魔法公主特别篇,9.5,1747676,496368,10811,281,萌系|少女|魔法,0
Da!Da!Da!,9.6,1541815,38051,26297,333,少女|时泪,0
向山进发 回忆的礼物,9.7,209718,363519,1813,597,萌系|校园|社团|少女,0
彩虹小马 小马国女孩4：无尽之森传奇,9.5,1082381,496368,22076,330,萌系|少女|魔法,0
花牌情缘 OAD,6.2,463475,574358,33036,406,热血|运动|少女|校园,0
橙路,9.5,703112,40361,30316,287,日常|少女,0
月刊少女野崎君（僅限港澳台地區）,9.7,124356,31723,1792,195,搞笑|校园|少女|漫画改,0
七色星露,9.2,75424,29748,805,109,少女,0
破天荒游戏,8.8,282186,28366,6096,154,奇幻|少女|魔法,0
见习神明 秘密的cocotama,9.4,1957495,27951,13873,104,萌系|少儿|少女,0
青出于蓝～缘～,9.2,449973,109127,1088,219,日常|少女|治愈|恋爱,0
莎拉公主,9.6,486315,27292,20758,200,少女|日常|治愈,0
超时空要塞 可曾记得爱,9.7,367824,118501,7738,448,少女|战斗,0
人类衰退之后 SP,9.6,703177,384089,5632,337,少女,0
蜜桃女孩,7.2,405999,0,7195,133,少女|恋爱,0
生肖奇缘 (2019)（僅限港澳地區）,8.9,225784,31038,2575,139,漫画改|奇幻|校园|恋爱,0
迷糊天使,9.4,247557,23575,6695,108,奇幻|少女,0
逮捕令 全速前进,8.8,371231,81086,13234,151,日常|少女|热血|职场,0
偶像大师 闪耀祭典,9.6,285189,259035,4802,298,偶像|少女,0
逮捕令 第二季,8.7,381667,81086,13591,173,日常|少女|热血|职场,0
草莓棉花糖 encore,9.7,302230,141383,7320,282,萌系|少女,0
H2 好逑双物语,9.4,389853,15777,7478,142,时泪|日常|少女|运动,0
交响情人梦 OAD,9.4,402898,209589,14809,152,音乐|少女,0
鹿枫堂 （中配）,9.4,511851,302807,8057,339,少女,0
茄子·安达卢西亚之夏,9.6,125733,11016,1567,135,少女|运动|热血,0
生肖奇缘 第二季（僅限台灣地區）,7.7,79904,31038,281,338,漫画改|校园|恋爱|奇幻,0
舞-乙HiME Zwei,9.6,122862,58235,1576,103,少女|战斗,0
Lapis Re:LiGHTs（僅限港澳台地區）,9.4,67679,8147,999,116,校园|偶像|少女|魔法,0
无口的森田小姐 OAD,9.3,69373,75519,615,109,少女,0
花牌情緣 第三季（僅限台灣地區）,6.4,58388,3771,436,163,漫画改|热血|恋爱|少女,0
