番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
NO GAME NO LIFE 游戏人生,9.8,63126103,4200626,1661519,60056,奇幻|智斗|架空|穿越,0
我们仍未知道那天所看见的花的名字。,9.5,40693720,3874723,2111077,32955,日常|治愈|催泪|原创,1
五等分的新娘,8.8,97378190,4528084,2151053,51732,恋爱|校园|日常|漫画改,1
齐木楠雄的灾难 始动篇,9.8,24347836,4460557,183040,36297,漫画改|奇幻|日常|搞笑,1
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,51779779,3816173,303609,19841,漫画改|热血|科幻|冒险,1
动物狂想曲 / BEASTARS 第二季,9.3,37288569,3871850,405076,25130,漫画改|校园|恋爱|架空,1
龙王的工作！,9.1,99219958,3578587,3575643,31727,小说改|职场,0
中二病也要谈恋爱！,9.7,21153922,4399766,399867,29713,恋爱|校园|小说改|搞笑,1
Fate/Zero 第一季,9.6,96347474,3778163,3571006,19290,时泪|奇幻|战斗|热血,0
路人女主的养成方法 ♭,9.7,19337652,4417020,288094,21454,小说改|恋爱|校园|社团,1
食戟之灵 餐之皿,9.4,9626459,3573920,64896,2515,校园|美食|搞笑|热血,1
樱花庄的宠物女孩,9.7,39569419,3401150,2497667,45585,校园|催泪|恋爱|小说改,0
境界的彼方,9.5,36935802,3591614,1397728,20417,恋爱|奇幻|战斗,1
Re：创造主,8.8,90163041,3372714,2523554,29016,科幻|奇幻|原创|穿越,0
约定的梦幻岛 第二季,2.7,33839214,3870195,322663,106318,漫画改|热血|冒险|励志,1
笨女孩,9.2,107508230,3367681,2110319,28334,搞笑|校园|漫画改,0
地缚少年花子君,9.4,65007550,3337607,1616774,68825,漫画改|搞笑|少女|奇幻,1
约定的梦幻岛,9.8,68898328,3870197,868811,75534,热血|智斗|励志|漫画改,1
卫宫家今天的饭,9.8,72082291,3247729,1108501,51716,日常|美食,0
游戏人生 零,9.9,16757693,4200630,362330,78298,爱情|奇幻|动画,0
