番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
入间同学入魔了,9.5,104474074,2647403,1061995,42382,漫画改|校园|搞笑|奇幻,1
某科学的超电磁炮S,9.7,67327567,6923420,3723866,26262,校园|战斗|奇幻,1
贤者之孙,6.7,73594775,2324746,958910,56724,小说改|奇幻|架空|穿越,1
野良神 ARAGOTO,9.4,106708411,3903646,2154777,14915,奇幻|战斗|漫画改|神魔,1
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,9.7,46028680,2238436,568601,39464,小说改|奇幻|魔法|冒险,1
怪物事变,9.6,45070708,2204168,380368,24597,漫画改|奇幻|神魔,1
从零开始的魔法书,9,46305331,2190463,992250,8797,小说改|奇幻|魔法|架空,1
少女终末旅行,9.8,32716468,2162961,978086,64654,奇幻|漫画改|冒险|架空,1
甘城光辉游乐园,9.7,26151850,2163933,657592,22660,日常|奇幻|励志|职场,0
诸神的逆鳞,4.7,48840140,2697016,270643,43857,漫画改|热血|战斗|奇幻,1
星掠者,5.4,92405339,2107457,986056,45173,漫画改|奇幻|搞笑|战斗,1
我，不是说了能力要平均值么！,8.2,57391142,2086347,728674,52622,小说改|穿越|奇幻|萌系,1
Angel Beats!,9.7,14781659,2078660,376380,25993,奇幻|校园|战斗|催泪,0
Fate/Zero 第二季,9.6,96312834,3778489,3571086,16681,时泪|奇幻|战斗|热血,0
半妖的夜叉姬,4.8,29676857,2652645,388771,23054,原创|穿越|奇幻|战斗,1
在地下城寻求邂逅是否搞错了什么 第二季,9,50266331,2885660,708901,22275,小说改|奇幻|战斗|冒险,1
夏目友人帐 陆,9.8,41245652,5319608,1226244,11332,催泪|奇幻|日常|治愈,1
K,9.4,23374528,3027212,673085,6460,奇幻|战斗|声控,1
奇蛋物语 / WONDER EGG PRIORITY,9.8,33589171,1984853,372103,53068,原创|奇幻,1
骑士&魔法,8.7,72800253,1976848,1047113,10272,小说改|机战|奇幻|魔法,1
终结的炽天使 名古屋决战篇,8.7,78823612,3446573,2113318,8722,奇幻|校园|战斗,0
你与我最后的战场，亦或是世界起始的圣战,7.8,41536632,1923171,318099,16076,冒险|战斗|奇幻|恋爱,1
双星之阴阳师,8.5,92178603,1908137,3118583,5732,热血|奇幻|战斗|冒险,1
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,9.7,8287526,2885660,85172,5716,小说改|奇幻|架空|神魔,1
学战都市Asterisk,8.3,81164422,2248095,1365056,4145,校园|奇幻|战斗|架空,1
异世界食堂,9.4,45212901,1831062,988431,9853,小说改|奇幻|美食|架空,0
漆黑的子弹,9.2,24609744,1804271,883426,11263,奇幻|战斗,0
