番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
ARGONAVIS from BanG Dream! 梦想协奏曲,9.5,1813046,102963,20390,1064,音乐|偶像|励志,1
金色琴弦～primo passo～,9.6,1086595,123884,26528,423,音乐|乙女,0
高校星歌剧 第三季,9.5,2589346,316083,30011,1223,原创|音乐|偶像|声控,0
战姬绝唱SYMPHOGEAR G,9.6,1242284,213161,17850,1027,科幻|音乐|热血,0
偶像大师 SideM,9.4,1185972,141292,19442,768,音乐|偶像|原创,0
琴之森 第二季,9.1,1786594,312709,13045,744,音乐|治愈|励志|漫画改,0
一弦定音！（僅限港澳台地區）,9.4,267748,64081,4431,451,漫画改|恋爱|校园|音乐,0
交响情人梦Finale,9.7,1267017,209591,23272,527,少女|音乐,0
BanG Dream! OVA,9.2,716828,671540,9200,695,音乐|校园|社团|日常,0
偶像大师灰姑娘剧场 第二季,9.3,1367942,543501,4661,460,音乐|偶像|原创,0
AKB0048 第二季,9.6,2789948,118577,42506,532,科幻|音乐|热血|偶像,0
交响情人梦 巴黎篇,9.7,81206,209591,470,404,少女|音乐,1
美妙☆频道,8.3,2346430,144250,16552,518,音乐|偶像|原创,1
少女☆歌剧Revue Starlight -The LIVE- #2 Transition,9.7,424009,650507,6132,1026,奇幻|战斗|校园|音乐,1
BECK,9.7,340957,42864,12441,640,音乐|热血|日常,0
幕末Rock,8.7,262803,42316,5983,146,搞笑|音乐|偶像|游戏改,0
金色琴弦～Secondo Passo～,9.2,264654,123884,3135,114,音乐|乙女,0
金色琴弦 Blue♪Sky,7.5,565224,123884,7080,101,音乐|乙女,0
偶像大师 剧场版 向着光辉的彼岸！,9.8,604629,259067,32587,1023,校园|音乐|偶像,0
吹響！上低音號 ​~歡迎來到北宇治高校吹奏樂部~（僅限台灣地區）,9.5,36492,124682,583,214,恋爱|音乐|校园,0
一弦定音！第二季（僅限港澳台地區）,9.7,143295,64081,3258,457,漫画改|校园|恋爱|社团,0
偶像大师 XENOGLOSSIA,8.2,226148,19376,7573,125,音乐|治愈|偶像,0
交响情人梦 OAD,9.4,402918,209591,14809,152,音乐|少女,0
