番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
越狱兔 第2季,9.5,6984965,267555,90596,388,萌系|搞笑|泡面,0
每度！浦安铁筋家族,9.1,7107861,48413,40861,298,搞笑|日常|泡面,0
新撰组镇魂歌 二分之一,9.2,808849,45894,3344,101,搞笑|泡面|历史,0
战国鸟兽戏画～乙～,9.3,866801,101319,3232,101,泡面|搞笑|日常|历史,0
越狱兔 第3季,9.6,6984965,267555,90596,386,萌系|搞笑|泡面,0
越狱兔 第4季,9.6,6984965,267555,90596,346,萌系|搞笑|泡面,0
神明之记,9.6,1158750,38421,2716,334,泡面,0
欢迎来到加帕里公园,2.6,903593,89451,2363,6037,萌系|日常|泡面|架空,1
漫研部～Surgical Friends～,8.7,622182,89816,1631,120,搞笑|校园|日常|泡面,0
迷你偶像,9.5,3574774,35280,15689,227,萌系|日常|泡面|治愈,0
法兰雀丝卡,8.6,345743,29376,532,104,原创|泡面|搞笑,0
天使的水果糖,9.2,204812,28929,6691,357,日常|泡面|架空,0
不要输！！恶之军团！,9.6,530194,28220,6982,289,搞笑|泡面,0
胡子小鸡,9.3,451340,27901,10445,106,萌系|搞笑|日常|泡面,0
网球并不可笑嘛 第六季,9.3,1143093,185796,4246,111,搞笑|校园|日常|泡面,0
千岁 Get You!!,9.3,230250,26629,2938,145,萌系|日常|泡面,0
漫研部~妄想突变~,8.1,600000,89816,2911,149,搞笑|泡面|校园|日常,0
大家集合！Falcom学园,9.3,1957172,26702,17063,142,日常|泡面,0
佝偻猫 第二季,9.7,877416,93816,15885,158,萌系|搞笑|日常|泡面,0
世嘉硬件女孩,9.3,1281982,22285,30663,108,萌系|搞笑|泡面,0
无口的森田小姐 2,9.6,729965,75519,6083,213,日常|泡面,0
迷你偶像 2期,9.6,3332447,35280,17632,180,萌系|日常|泡面|治愈,0
欢迎来到加帕里公园 第二季,2.3,566780,89451,629,3369,日常|萌系|泡面|架空,1
海獭波乐 2nd,9.3,764746,73993,6867,219,少儿|泡面,0
MINUSCULE ～小昆虫的故事～,9.4,334016,18806,27031,121,日常|泡面|少儿|治愈,0
怪兽酒场干杯！,9.2,990229,18585,5256,129,搞笑|日常|泡面,0
火球,9.3,227870,27089,1453,151,机战|奇幻|日常|泡面,0
大家集合！Falcom学园 第二季,9.4,1682198,26702,11311,138,日常|泡面,0
很帅很可爱宣言,8.5,291263,14480,1490,122,搞笑|泡面,0
玉家典当铺,9.1,514044,14220,683,104,泡面,0
火球 魅力之章,9.3,165557,27089,824,110,机战|科幻|日常|泡面,0
火球 幽默之章,9.5,155123,27089,401,187,科幻|泡面,0
熊猫拍拍 应援团篇,8.5,63868,22113,244,105,原创|泡面,0
