番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
穿越时空的少女,9.5,3224813,618108,64063,6142,科幻|催泪|校园|穿越,1
少女与战车,9.6,8171271,685594,382775,8551,科幻|智斗|日常,1
攻壳机动队 STAND ALONE COMPLEX,9.8,8169656,943145,159648,4569,科幻|热血|智斗,0
超次元游戏 海王星,9.7,4955896,596392,146583,3554,科幻|热血|奇幻|少女,0
星之声,9.1,3056935,579758,23738,1270,科幻|少女|治愈|机战,0
环太平洋：黑色禁区,6.3,9167715,565854,74051,6063,战斗|科幻|机战|原创,1
刀剑神域 Extra Edition,8.7,13097342,7188485,199921,4345,小说改|热血|战斗|科幻,0
命运石之门 负荷领域的既视感,9.8,6363061,1963804,234769,10467,科幻|穿越,0
机动战士高达独角兽(UC) RE:0096,9.4,26599329,522497,291863,3833,热血|机战|科幻|战斗,0
OVERLORD SP,9.4,41120981,8682566,48597,3859,科幻|奇幻|战斗|日常,0
机动战士高达 铁血的奥尔芬斯 第一季,9.4,14611407,563149,221477,6263,热血|机战|科幻|战斗,0
高达创形者 再起 第二季,9.8,10233152,564697,142494,13180,原创|热血|科幻|机战,0
天元突破红莲螺岩,9.8,8173351,611763,131462,16651,热血|科幻|励志|机战,0
在盛夏等待,9.3,2292415,499163,55126,2219,科幻|催泪|恋爱|原创,0
战翼的希格德莉法,9.1,5276609,459441,54619,4570,原创|科幻,1
在世界尽头咏唱恋曲的少女YU-NO,6.8,2156606,459321,18004,1672,游戏改|科幻|恋爱|声控,1
机动战士高达00,9.6,12781743,516807,223700,4666,科幻|热血|机战,0
凉宫春日的忧郁 2006,9.7,2363946,1177726,23621,3213,时泪|奇幻|搞笑|科幻,1
机甲少女 FRAME ARMS GIRL,9.1,5894331,443805,196398,811,机战|科幻|原创,0
重神机潘多拉,6.6,6966648,489483,100450,4910,机战|原创|科幻,1
宇宙战舰提拉米斯,9.2,10477384,466622,64402,2336,搞笑|机战|科幻,0
EVA 新世纪福音战士新剧场版1.11：序,9.7,7290884,1839847,94949,4703,科幻|机战|战斗,0
革命机Valvrave,9.8,7339077,420484,230065,95472,机战|科幻|战斗|原创,0
机动战士高达SEED HD,9.6,18552149,483244,459869,5484,科幻|机战,0
人类衰退之后,9.8,2322672,384086,25621,3356,科幻|日常|小说改,0
钢壳都市雷吉欧斯,8,2741119,374290,34559,1144,科幻|热血|战斗|架空,0
EVA 新世纪福音战士新剧场版3.33：Q,8.9,6804558,1839850,120051,6602,机战|科幻|战斗,0
泽塔奥特曼（中配）,9.3,2350135,1903126,11891,614,热血|战斗|科幻|特摄,0
笑容的代价,4.2,6511269,364206,53306,8737,科幻|战斗|原创|机战,1
全部成为F -THE PERFECT INSIDER-,9.2,5916039,349817,117208,1715,科幻|智斗|推理,0
Punch Line,9.3,2441827,344939,6089,1463,搞笑|科幻|原创,1
EVA 新世纪福音战士新剧场版2.22：破,9.7,6842090,1839850,146280,5453,原创|科幻|机战|战斗,0
DARKER THAN BLACK -流星的双子-,9.6,3867171,1458041,111635,4717,奇幻|科幻|战斗|热血,1
世界征服 谋略之星,9,5505759,337907,126108,1358,萌系|科幻,0
异界群敌 代码重组,6.1,4292823,328087,32516,1484,游戏改|战斗|科幻|萌系,1
BUDDY COMPLEX,9.4,5319780,325756,105660,1821,科幻|热血|机战|战斗,0
黑之宣告,6.1,4425840,324062,127029,1320,机战|战斗|科幻,1
ALDNOAH.ZERO,9.1,5430910,339629,45377,4534,原创|科幻|架空|机战,1
Classroom☆Crisis,9.3,6643591,321195,131677,1238,萌系|奇幻|科幻|日常,0
命运石之门 境界面上的迷失之链,9.7,4284793,1963804,22426,2265,科幻|穿越,0
未来都市No.6,9.5,2611677,315249,89992,4900,小说改|科幻,0
高达创形者 再起,9.4,12802527,564697,120862,7907,原创|热血|科幻|机战,0
EVA 新世纪福音战士剧场版：Air / 真心为你,9.6,5976035,1839854,92944,5288,科幻|机战|战斗,0
机动战士高达SEED Destiny HD,9.1,18554764,483242,511221,4534,科幻|机战,0
命运石之门 聪明睿智的认知计算,9.7,4027914,1963807,22190,1734,科幻,0
希德尼娅的骑士 第一季,9.7,6209305,351765,102717,2694,热血|科幻|机战|冒险,0
梦幻之星 神谕篇,8.3,5648565,284885,27893,1278,游戏改|战斗|声控|科幻,1
翠星之加尔刚蒂亚,9.4,4007772,287257,59577,1464,奇幻|科幻|机战|原创,0
梦幻之星online2,8.2,6824626,275936,141796,419,科幻|奇幻,0
机动战士高达00 第二季,9.7,12784688,516807,242261,4961,科幻|热血|机战,0
Code Geass 亡国的阿基德,7.4,2947159,271970,62446,1269,奇幻|科幻|热血|机战,0
RErideD-穿越时空的德理达,7.5,3692749,251645,23202,1679,科幻|原创|穿越|冒险,0
颠倒的帕特玛,9.7,1895544,249925,50020,3379,科幻|冒险,0
EVA 新世纪福音战士剧场版：死与新生,9.5,4412842,1839853,23498,1986,科幻|机战|战斗,0
全金属狂潮,9.5,2326800,718876,26082,1113,热血|科幻|小说改|机战,0
黑色残骸,8.8,8857985,236451,185165,669,机战|科幻|战斗,0
女神异闻录5 -THE DAY BREAKERS-,9.6,2810402,1365278,23762,1483,热血|科幻|奇幻|校园,1
DARKER THAN BLACK -黑之契约者- 外传,9.7,1791518,1458044,36008,2081,奇幻|科幻|战斗|热血,1
最终幻想VII：降临之子,9.8,2164945,237706,39383,3779,科幻|战斗|架空,0
英雄时代,9.8,5132123,232074,94843,3342,科幻|热血|机战|战斗,0
星际牛仔 天国之扉,9.8,2150076,572166,28062,3106,热血|科幻|时泪,0
CØDE:BREAKER 法外制裁者,5.9,2567323,220987,50672,785,科幻|热血,0
天元突破 红莲螺岩 剧场版,9.8,1147742,611763,9192,2576,原创|热血|战斗|科幻,0
银河英雄传说：全新命题 星乱,9.8,4206372,299791,44397,4789,小说改|科幻|架空|声控,1
女神异闻录3 剧场版 #1 Spring of Birth,9.4,2229655,243489,35334,502,科幻|奇幻|战斗|校园,1
亡念之扎姆德,9.2,1970305,194425,28373,1205,奇幻|科幻|架空,0
超时空要塞 Frontier,9.5,3611496,201347,100003,1469,科幻|热血|机战|偶像,0
战姬绝唱SYMPHOGEAR,9.6,1732798,213148,27773,1248,科幻|音乐|热血|原创,0
科学小飞侠Crowds,9.6,1394325,221184,25433,1258,科幻|热血,1
核爆默示录,8.3,3642944,185297,109165,570,科幻|冒险,0
红伤骑士X,6.3,2049974,185114,58088,124,乙女|科幻|声控,1
攻壳机动队 S.A.C. 2nd GIG,9.8,3562994,943145,50999,2673,科幻|热血|智斗,0
剧场版 魔法禁书目录炭 SP,9.1,5054164,4959982,73543,1203,科幻|战斗|魔法,0
交响诗篇 第一季,9.6,3623055,177162,46270,1849,科幻|热血|催泪|机战,0
银河英雄传说：全新命题,9.7,2210918,299791,40255,2430,小说改|科幻|架空|智斗,0
ID-0,9.1,2161759,155621,26966,501,科幻|原创,0
阿童木起源,9,2521936,147125,48975,325,科幻|漫画改,0
哥斯拉：怪兽行星,7.8,4513217,0,22196,1606,动作|科幻|动画,1
武士弗拉明戈,9.3,703104,141540,13607,907,搞笑|科幻|热血|偶像,0
LEVEL E,9.7,1875332,135322,37066,1568,奇幻|科幻,0
创圣的大天使,8.7,1635359,196046,19777,232,科幻|热血|机战|架空,0
狼雨,9.4,1246341,132955,22304,427,科幻|时泪,0
宇宙战舰提拉米斯II,9.5,3600330,466622,18118,1181,搞笑|奇幻|泡面|漫画改,0
战斗司书,9,1526713,130411,13397,312,奇幻|科幻|热血|声控,0
目隱都市的演繹者（僅限港澳台地區）,9.1,133654,129077,4338,828,科幻|战斗,0
复仇者：世上最强英雄组合,9.6,4041154,128261,99455,728,科幻|热血,0
列比乌斯/Levius,9.5,1404401,125496,8029,973,漫画改|战斗|科幻,1
机巧魔神,8.9,985198,136464,8290,393,科幻|热血,0
Dimension W~维度战记~ OVA,9.6,641756,122802,1050,506,科幻|战斗,0
CANNON BUSTERS,7.1,1232551,122202,6760,943,漫画改|搞笑|冒险|科幻,1
伽利略少女,8.3,456368,121469,1317,429,科幻,1
星空清理者,9.6,1294079,120535,41085,1456,科幻|催泪|漫画改,0
攻壳机动队ARISE ALTERNATIVE ARCHITECTURE,8.8,2629110,943147,23515,368,科幻|热血|智斗,0
新机动战记高达W TV版,9.5,2979864,158563,46719,883,科幻|热血|机战,0
高智能方程式,9.7,5056038,139151,79606,1139,时泪|科幻|运动|热血,0
献给某飞行员的恋歌,8.8,184334,151784,924,523,科幻|少女|小说改|架空,1
ALDNOAH.ZERO 第二季,6.5,3182481,339629,33864,5813,原创|战斗|科幻|架空,1
玲音,9.5,774292,112998,25068,1124,科幻,0
星梦手记,8.4,1845243,113451,38097,102,科幻|偶像|励志|原创,0
电脑线圈,9.7,946405,108540,32068,1120,科幻|治愈,0
AKB0048 第一季,9.6,3769682,118576,101514,624,科幻|音乐|热血|偶像,0
